"","demonimador","numerador","Frequência","Qtd_0_Denom","Qtd_1_Denom","D0N0","D0N1","D1N0","D1N1"
"369","Licenca_Medica","Licenca_Medica","1","180","19","180","0","0","19"
"370","Aposentado_Invalidez","Licenca_Medica","0.375","184","8","169","15","5","3"
"371","Analg.e9.sicos","Licenca_Medica","0.088","66","125","58","8","114","11"
"372","OutraDoenca","Licenca_Medica","0.0985915492957746","122","71","110","12","64","7"
"373","Dor_costas","Licenca_Medica","0.137931034482759","75","116","72","3","100","16"
"374","Dor_pernas","Licenca_Medica","0.2","129","60","122","7","48","12"
"375","Retornar_trabalho","Licenca_Medica","0.15","155","20","141","14","17","3"
"376","Masc","Licenca_Medica","0.0923076923076923","69","130","62","7","118","12"
"377","Fem","Licenca_Medica","0.101449275362319","130","69","118","12","62","7"
"378","Casado_Amasiado","Licenca_Medica","0.0617283950617284","107","81","93","14","76","5"
"379","Solteiro","Licenca_Medica","0.148148148148148","107","81","100","7","69","12"
"380","Separado_Divorciado","Licenca_Medica","0.125","180","8","162","18","7","1"
"381","X4","Licenca_Medica","0","185","3","166","19","3","0"
"382","X5","Licenca_Medica","0","184","4","165","19","4","0"
"383","X6","Licenca_Medica","0.0909090909090909","177","11","159","18","10","1"
"384","Livrar_costas","Licenca_Medica","0.142857142857143","14","105","13","1","90","15"
"385","Livrar_perna","Licenca_Medica","0.0769230769230769","106","13","91","15","12","1"
"386","Livrar_perda_sens","Licenca_Medica","0","118","1","102","16","1","0"
"387","D1","Licenca_Medica","0","131","1","113","18","1","0"
"388","D15","Licenca_Medica","0.5","126","6","111","15","3","3"
"389","D16","Licenca_Medica","0.15","112","20","97","15","17","3"
"390","D17","Licenca_Medica","0.4","127","5","111","16","3","2"
