"","demonimador","numerador","Frequência","Qtd_1_Denom","Qtd_0_Demon","D0N0","D0N1","D1N0","D1N1"
"260","RMDQ23_v1","RMDQ4_v1","0.297297297297297","37","183","140","43","26","11"
"261","RMDQ24_v1","RMDQ4_v1","0.342857142857143","35","185","143","42","23","12"
"262","Dor_costas","RMDQ5_v1","0.346774193548387","124","67","46","21","81","43"
"263","Dor_pernas","RMDQ5_v1","0.338461538461538","65","124","82","42","43","22"
"264","Livrar_costas","RMDQ5_v1","0.351851851851852","108","16","13","3","70","38"
"265","Livrar_perna","RMDQ5_v1","0.214285714285714","14","110","72","38","11","3"
"266","D30","RMDQ5_v1","0.387096774193548","62","56","47","9","38","24"
"267","RMDQ1_v1","RMDQ5_v1","0.529411764705882","85","134","107","27","40","45"
"268","RMDQ2_v1","RMDQ5_v1","0.544444444444444","90","129","106","23","41","49"
"269","RMDQ3_v1","RMDQ5_v1","0.9","80","141","140","1","8","72"
"270","RMDQ4_v1","RMDQ5_v1","0.854545454545454","55","166","140","26","8","47"
"271","RMDQ5_v1","RMDQ5_v1","1","73","148","148","0","0","73"
"272","RMDQ6_v1","RMDQ5_v1","0.947368421052632","57","164","145","19","3","54"
"273","RMDQ7_v1","RMDQ5_v1","0.897435897435897","39","181","144","37","4","35"
"274","RMDQ8_v1","RMDQ5_v1","1","8","212","148","64","0","8"
"275","RMDQ9_v1","RMDQ5_v1","0.941176470588235","34","186","146","40","2","32"
"276","RMDQ10_v1","RMDQ5_v1","0.85","40","180","142","38","6","34"
"277","RMDQ11_v1","RMDQ5_v1","0.904761904761905","42","178","144","34","4","38"
"278","RMDQ12_v1","RMDQ5_v1","0.863636363636364","44","176","142","34","6","38"
"279","RMDQ13_v1","RMDQ5_v1","0.782608695652174","46","174","138","36","10","36"
"280","RMDQ14_v1","RMDQ5_v1","0.755102040816326","49","171","136","35","12","37"
"281","RMDQ15_v1","RMDQ5_v1","0.870967741935484","31","189","144","45","4","27"
"282","RMDQ16_v1","RMDQ5_v1","0.864864864864865","37","183","143","40","5","32"
"283","RMDQ17_v1","RMDQ5_v1","0.836734693877551","49","171","140","31","8","41"
"284","RMDQ18_v1","RMDQ5_v1","0.916666666666667","36","184","145","39","3","33"
"285","RMDQ19_v1","RMDQ5_v1","0.96875","32","188","147","41","1","31"
