;Binaria;Ordinal;rpb;Bin_0;Bin_1;Missing
472;Retornar_trabalho;BPI_4_v1;0.157540549501659;183;21;32
473;Retornar_trabalho;BPI_5_v1;0.245746836423351;183;21;32
474;Retornar_trabalho;BPI_6_v1;0.18385587040013;98;20;13
475;Retornar_trabalho;BPI_8_v1;-0.0914966262058616;125;17;18
476;Retornar_trabalho;BPI_9a_v1;-0.0626906900302597;119;19;17
477;Retornar_trabalho;BPI_9b_v1;-0.181304785132132;119;19;17
478;Retornar_trabalho;BPI_9c_v1;-0.0228238077217194;119;19;17
479;Retornar_trabalho;BPI_9d_v1;0.0448959012214298;119;19;17
480;Retornar_trabalho;BPI_9e_v1;-0.116197131231294;119;19;17
481;Retornar_trabalho;BPI_9f_v1;0.0683283475420705;119;19;17
482;Retornar_trabalho;BPI_9g_v1;-0.0405729642301479;119;19;17
468;Retornar_trabalho;Dor_costas_VAS;0.261633337495244;145;20;16
469;Retornar_trabalho;Dor_pernas_VAS;0.382547347569216;161;20;21
470;Retornar_trabalho;IDADE;0.514937437321455;146;21;35
464;Retornar_trabalho;Licenca_Tempo;0.870193355676585;2;2;2
462;Retornar_trabalho;QtCirColuna;0.626308817664788;118;9;19
465;Retornar_trabalho;Tempo_dor_costas;0.26601138225881;108;21;13
466;Retornar_trabalho;Tempo_dor_pernas;0.0348042375455734;108;21;12
463;Retornar_trabalho;Trabalho_Cansativo;-0.496861416188511;105;20;14
3089;RMDQ1_v1;Andar_velocidade;-0.301929094271009;72;45;17
3093;RMDQ1_v1;BPI_3_v1;0.242676579325051;134;84;17
3094;RMDQ1_v1;BPI_4_v1;0.109622098851869;134;84;17
3095;RMDQ1_v1;BPI_5_v1;0.216588853436012;134;84;17
3096;RMDQ1_v1;BPI_6_v1;0.296649255330003;73;42;15
3097;RMDQ1_v1;BPI_8_v1;0.166356600593453;82;71;6
3098;RMDQ1_v1;BPI_9a_v1;-0.177100788180526;80;68;6
3099;RMDQ1_v1;BPI_9b_v1;-0.143334137625428;80;68;6
3100;RMDQ1_v1;BPI_9c_v1;-0.210201520003982;80;68;6
3101;RMDQ1_v1;BPI_9d_v1;-0.115124325557509;80;68;6
