"Binaria","Ordinal","rpb","pvalue","Bin_0","Bin_1","Missing"
"RMDQ9_v1","SF12_M1_10_v1",-0.831253369268647,1.46310286020875e-18,186,34,12
"RMDQ9_v1","SF12_M1_11_v1",-0.995266885825961,2.53367142300592e-28,186,34,12
"RMDQ9_v1","SF12_M1_12_v1",-0.998001694019161,1.60922334785934e-28,186,34,12
"RMDQ10_v1","SF12_M1_1_v1",0.629379305827238,2.32784601289083e-11,180,40,12
"RMDQ10_v1","SF12_M1_2_v1",-0.858032102528783,8.39782175055389e-22,180,40,12
"RMDQ10_v1","SF12_M1_3_v1",-0.865289556610239,3.12584576297586e-22,180,40,12
"RMDQ10_v1","SF12_M1_4_v1",-0.756385789916822,1.7138349848702e-16,180,40,12
"RMDQ10_v1","SF12_M1_5_v1",-0.822722354290458,8.14780329758295e-20,180,40,12
"RMDQ10_v1","SF12_M1_6_v1",-0.941208687740266,3.32747147456022e-27,180,40,12
"RMDQ10_v1","SF12_M1_7_v1",-0.9999,6.69760624752895e-32,180,40,12
"RMDQ10_v1","SF12_M1_8_v1",0.805212232642188,6.8796460985382e-19,180,40,12
"RMDQ10_v1","SF12_M1_9_v1",-0.804516424204569,7.47514291706952e-19,180,40,12
"RMDQ10_v1","SF12_M1_10_v1",-0.790728217510259,3.77014722979394e-18,180,40,12
"RMDQ10_v1","SF12_M1_11_v1",-0.942491429001858,2.69007520809588e-27,180,40,12
"RMDQ10_v1","SF12_M1_12_v1",-0.919563013811079,1.08670270511786e-25,180,40,12
"RMDQ11_v1","Oswestry7_v1",0.966569219769005,5.94146699428144e-30,178,42,12
"RMDQ11_v1","Oswestry8_v1",0.963931508777273,9.6385856896162e-30,178,42,12
"RMDQ11_v1","Oswestry10_v1",0.962830285165396,1.17841169815084e-29,178,42,12
"RMDQ11_v1","SF12_M1_1_v1",0.721483365455398,2.71234364326146e-15,178,42,12
"RMDQ11_v1","SF12_M1_2_v1",-0.911167421994213,7.85081434865568e-26,178,42,12
"RMDQ11_v1","SF12_M1_3_v1",-0.921705363235585,1.4317550227267e-26,178,42,12
"RMDQ11_v1","SF12_M1_4_v1",-0.772289362063799,1.12525845899218e-17,178,42,12
"RMDQ11_v1","SF12_M1_5_v1",-0.880302613694438,8.92113272034737e-24,178,42,12
"RMDQ11_v1","SF12_M1_6_v1",-0.999169433199054,1.11700214629033e-32,178,42,12
"RMDQ11_v1","SF12_M1_7_v1",-0.9999,3.28807381394781e-38,178,42,12
