"","denominador","numerador","Frequência","P-value","Qtd_1_Denom","Qtd_0_Demon","D0N0","D0N1","D1N0","D1N1"
"483","RMDQ14_v1","RMDQ12_v1",0.755102040816326,3.11054146953265e-28,49,171,164,7,12,37
"484","RMDQ15_v1","RMDQ12_v1",0.935483870967742,2.31195628497245e-28,31,189,174,15,2,29
"485","RMDQ16_v1","RMDQ12_v1",0.864864864864865,1.47323611159845e-28,37,183,171,12,5,32
"486","RMDQ17_v1","RMDQ12_v1",0.673469387755102,5.5520928346739e-21,49,171,160,11,16,33
"487","RMDQ18_v1","RMDQ12_v1",0.916666666666667,6.68116231744111e-32,36,184,173,11,3,33
"488","RMDQ19_v1","RMDQ12_v1",0.96875,6.22288812484457e-32,32,188,175,13,1,31
"489","RMDQ20_v1","RMDQ12_v1",0.921052631578947,2.51363890979545e-34,38,182,173,9,3,35
"490","RMDQ21_v1","RMDQ12_v1",0.729166666666667,3.55007709489676e-25,48,172,163,9,13,35
"491","RMDQ22_v1","RMDQ12_v1",0.894736842105263,5.48132077282605e-32,38,182,172,10,4,34
"492","RMDQ23_v1","RMDQ12_v1",0.918918918918919,4.16233038960417e-33,37,183,173,10,3,34
"493","RMDQ24_v1","RMDQ12_v1",1,4.33110628986617e-38,35,185,176,9,0,35
"494","Dor nas costas","RMDQ13_v1",0.24390243902439,0.126265896680955,123,67,57,10,93,30
"495","Dor nas pernas","RMDQ13_v1",0.215384615384615,0.949148408669351,65,123,97,26,51,14
"496","Livrar_costas","RMDQ13_v1",0.242990654205607,0.29380489715575,107,16,14,2,81,26
"497","Livrar_perna","RMDQ13_v1",0.142857142857143,0.421577354506448,14,109,83,26,12,2
"498","Lombalgia","RMDQ13_v1",0.229508196721311,0.230814196634122,61,56,48,8,47,14
"499","RMDQ1_v1","RMDQ13_v1",0.388235294117647,1.41417293958435e-06,85,134,121,13,52,33
"500","RMDQ2_v1","RMDQ13_v1",0.355555555555556,4.94798601733118e-05,90,129,115,14,58,32
"501","RMDQ3_v1","RMDQ13_v1",0.481012658227848,1.13775344270434e-13,79,141,133,8,41,38
"502","RMDQ4_v1","RMDQ13_v1",0.314814814814815,0.0278522648007559,54,166,137,29,37,17
"503","RMDQ5_v1","RMDQ13_v1",0.5,1.35462118744328e-13,72,148,138,10,36,36
"504","RMDQ6_v1","RMDQ13_v1",0.660714285714286,6.23262409158129e-22,56,164,155,9,19,37
"505","RMDQ7_v1","RMDQ13_v1",0.846153846153846,4.01355679415581e-27,39,181,168,13,6,33
"506","RMDQ8_v1","RMDQ13_v1",0.875,2.37989535306747e-06,8,212,173,39,1,7
"507","RMDQ9_v1","RMDQ13_v1",0.970588235294118,1.59726362813938e-32,34,186,173,13,1,33
"508","RMDQ10_v1","RMDQ13_v1",0.825,3.32034513985841e-26,40,180,167,13,7,33
"509","RMDQ11_v1","RMDQ13_v1",0.785714285714286,1.67872093980868e-24,42,178,165,13,9,33
"510","RMDQ12_v1","RMDQ13_v1",0.840909090909091,1.01747887939032e-30,44,176,167,9,7,37
"511","RMDQ13_v1","RMDQ13_v1",1,9.04447975804488e-50,46,174,174,0,0,46
"512","RMDQ14_v1","RMDQ13_v1",0.653061224489796,4.38583964487606e-18,49,171,157,14,17,32
"513","RMDQ15_v1","RMDQ13_v1",0.870967741935484,1.41275239992842e-22,31,189,170,19,4,27
"514","RMDQ16_v1","RMDQ13_v1",0.945945945945946,1.27148398890014e-33,37,183,172,11,2,35
"515","RMDQ17_v1","RMDQ13_v1",0.693877551020408,2.92919435879067e-21,49,171,159,12,15,34
"516","RMDQ18_v1","RMDQ13_v1",0.861111111111111,7.04483602308015e-26,36,184,169,15,5,31
"517","RMDQ19_v1","RMDQ13_v1",0.96875,2.91738355065417e-30,32,188,173,15,1,31
"518","RMDQ20_v1","RMDQ13_v1",0.868421052631579,4.33945751062073e-28,38,182,169,13,5,33
"519","RMDQ21_v1","RMDQ13_v1",0.6875,3.02717342793665e-20,48,172,159,13,15,33
"520","RMDQ22_v1","RMDQ13_v1",0.842105263157895,5.0827520652276e-26,38,182,168,14,6,32
"521","RMDQ23_v1","RMDQ13_v1",0.864864864864865,5.61408317275801e-27,37,183,169,14,5,32
"522","RMDQ24_v1","RMDQ13_v1",0.942857142857143,2.55322966548863e-31,35,185,172,13,2,33
"523","Dor nas costas","RMDQ14_v1",0.284552845528455,0.00934211538495321,123,67,59,8,88,35
"524","Dor nas pernas","RMDQ14_v1",0.230769230769231,0.86010327939387,65,123,96,27,50,15
"525","Livrar_costas","RMDQ14_v1",0.271028037383178,0.477518917824818,107,16,13,3,78,29
"526","Livrar_perna","RMDQ14_v1",0.142857142857143,0.287895495678225,14,109,79,30,12,2
"527","Lombalgia","RMDQ14_v1",0.278688524590164,0.0733644710807919,61,56,48,8,44,17
"528","RMDQ1_v1","RMDQ14_v1",0.482352941176471,1.92360002097082e-12,85,134,126,8,44,41
"529","RMDQ2_v1","RMDQ14_v1",0.5,2.04855149266087e-15,90,129,125,4,45,45
"530","RMDQ3_v1","RMDQ14_v1",0.468354430379747,5.59488249261901e-11,79,141,129,12,42,37
"531","RMDQ4_v1","RMDQ14_v1",0.333333333333333,0.0245223053717586,54,166,135,31,36,18
"532","RMDQ5_v1","RMDQ14_v1",0.513888888888889,4.50404679452514e-13,72,148,136,12,35,37
"533","RMDQ6_v1","RMDQ14_v1",0.607142857142857,1.1681741522927e-15,56,164,149,15,22,34
"534","RMDQ7_v1","RMDQ14_v1",0.897435897435897,6.06931963566391e-29,39,181,167,14,4,35
"535","RMDQ8_v1","RMDQ14_v1",0.875,6.27400194866598e-06,8,212,170,42,1,7
"536","RMDQ9_v1","RMDQ14_v1",0.941176470588235,6.63947855075367e-28,34,186,169,17,2,32
"537","RMDQ10_v1","RMDQ14_v1",0.9,5.17687226522671e-30,40,180,167,13,4,36
"538","RMDQ11_v1","RMDQ14_v1",0.857142857142857,4.47919789268309e-28,42,178,165,13,6,36
"539","RMDQ12_v1","RMDQ14_v1",0.840909090909091,3.11054146953265e-28,44,176,164,12,7,37
"540","RMDQ13_v1","RMDQ14_v1",0.695652173913043,4.38583964487606e-18,46,174,157,17,14,32
"541","RMDQ14_v1","RMDQ14_v1",1,9.04447975804488e-50,49,171,171,0,0,49
"542","RMDQ15_v1","RMDQ14_v1",0.935483870967742,7.79124507799233e-25,31,189,169,20,2,29
"543","RMDQ16_v1","RMDQ14_v1",0.864864864864865,7.57897393539647e-25,37,183,166,17,5,32
"544","RMDQ17_v1","RMDQ14_v1",0.673469387755102,7.87915863197901e-18,49,171,155,16,16,33
"545","RMDQ18_v1","RMDQ14_v1",0.972222222222222,3.14587991293682e-32,36,184,170,14,1,35
"546","RMDQ19_v1","RMDQ14_v1",0.9375,7.57394242815375e-26,32,188,169,19,2,30
"547","RMDQ20_v1","RMDQ14_v1",0.894736842105263,6.9176345235904e-28,38,182,167,15,4,34
"548","RMDQ21_v1","RMDQ14_v1",0.75,3.09645348653985e-23,48,172,159,13,12,36
"549","RMDQ22_v1","RMDQ14_v1",0.868421052631579,7.16027453909365e-26,38,182,166,16,5,33
"550","RMDQ23_v1","RMDQ14_v1",0.891891891891892,7.66785369720488e-27,37,183,167,16,4,33
"551","RMDQ24_v1","RMDQ14_v1",0.971428571428571,3.70944441058562e-31,35,185,170,15,1,34
"552","Dor nas costas","RMDQ15_v1",0.170731707317073,0.0655286404567252,123,67,62,5,102,21
"553","Dor nas pernas","RMDQ15_v1",0.169230769230769,0.287253249877641,65,123,109,14,54,11
"554","Livrar_costas","RMDQ15_v1",0.14018691588785,0.617492553600973,107,16,13,3,92,15
"555","Livrar_perna","RMDQ15_v1",0.142857142857143,0.968744634503816,14,109,93,16,12,2
"556","Lombalgia","RMDQ15_v1",0.163934426229508,0.227623540145872,61,56,51,5,51,10
"557","RMDQ1_v1","RMDQ15_v1",0.341176470588235,1.08138535596357e-10,85,134,132,2,56,29
"558","RMDQ2_v1","RMDQ15_v1",0.322222222222222,1.04211040204672e-09,90,129,127,2,61,29
"559","RMDQ3_v1","RMDQ15_v1",0.341772151898734,1.45966753489881e-10,79,141,137,4,52,27
"560","RMDQ4_v1","RMDQ15_v1",0.0925925925925926,0.240078396774443,54,166,140,26,49,5
"561","RMDQ5_v1","RMDQ15_v1",0.375,3.38998765801881e-12,72,148,144,4,45,27
"562","RMDQ6_v1","RMDQ15_v1",0.482142857142857,1.88715666965384e-17,56,164,160,4,29,27
"563","RMDQ7_v1","RMDQ15_v1",0.692307692307692,1.0166500250513e-27,39,181,177,4,12,27
"564","RMDQ8_v1","RMDQ15_v1",0.5,0.00294189307973926,8,212,185,27,4,4
"565","RMDQ9_v1","RMDQ15_v1",0.794117647058823,1.10452378994493e-32,34,186,182,4,7,27
"566","RMDQ10_v1","RMDQ15_v1",0.675,7.10532254706397e-27,40,180,176,4,13,27
"567","RMDQ11_v1","RMDQ15_v1",0.642857142857143,2.63183270604289e-25,42,178,174,4,15,27
"568","RMDQ12_v1","RMDQ15_v1",0.659090909090909,2.31195628497245e-28,44,176,174,2,15,29
"569","RMDQ13_v1","RMDQ15_v1",0.58695652173913,1.41275239992842e-22,46,174,170,4,19,27
"570","RMDQ14_v1","RMDQ15_v1",0.591836734693878,7.79124507799233e-25,49,171,169,2,20,29
"571","RMDQ15_v1","RMDQ15_v1",1,9.04447975804488e-50,31,189,189,0,0,31
"572","RMDQ16_v1","RMDQ15_v1",0.72972972972973,1.52047338237707e-29,37,183,179,4,10,27
"573","RMDQ17_v1","RMDQ15_v1",0.551020408163265,8.05841936383107e-21,49,171,167,4,22,27
"574","RMDQ18_v1","RMDQ15_v1",0.75,1.56181925140462e-30,36,184,180,4,9,27
"575","RMDQ19_v1","RMDQ15_v1",0.84375,4.21577239144344e-35,32,188,184,4,5,27
"576","RMDQ20_v1","RMDQ15_v1",0.710526315789474,1.31370570973966e-28,38,182,178,4,11,27
"577","RMDQ21_v1","RMDQ15_v1",0.5625,2.21372577838713e-21,48,172,168,4,21,27
"578","RMDQ22_v1","RMDQ15_v1",0.710526315789474,1.31370570973966e-28,38,182,178,4,11,27
"579","RMDQ23_v1","RMDQ15_v1",0.72972972972973,1.52047338237707e-29,37,183,179,4,10,27
"580","RMDQ24_v1","RMDQ15_v1",0.771428571428571,1.40934099121581e-31,35,185,181,4,8,27
"581","Dor nas costas","RMDQ16_v1",0.219512195121951,0.0107818276470636,123,67,62,5,96,27
"582","Dor nas pernas","RMDQ16_v1",0.184615384615385,0.70247329917042,65,123,103,20,53,12
"583","Livrar_costas","RMDQ16_v1",0.196261682242991,0.495326116175534,107,16,14,2,86,21
"584","Livrar_perna","RMDQ16_v1",0.142857142857143,0.65277584695815,14,109,88,21,12,2
"585","Lombalgia","RMDQ16_v1",0.213114754098361,0.120524579592681,61,56,50,6,48,13
"586","RMDQ1_v1","RMDQ16_v1",0.352941176470588,4.53186243686946e-08,85,134,127,7,55,30
"587","RMDQ2_v1","RMDQ16_v1",0.333333333333333,3.52642005073268e-07,90,129,122,7,60,30
"588","RMDQ3_v1","RMDQ16_v1",0.40506329113924,2.04450175535716e-12,79,141,136,5,47,32
"589","RMDQ4_v1","RMDQ16_v1",0.203703703703704,0.421727933842598,54,166,140,26,43,11
"590","RMDQ5_v1","RMDQ16_v1",0.444444444444444,2.15101371218421e-14,72,148,143,5,40,32
"591","RMDQ6_v1","RMDQ16_v1",0.589285714285714,1.70176558457016e-22,56,164,160,4,23,33
"592","RMDQ7_v1","RMDQ16_v1",0.82051282051282,3.22770470404949e-33,39,181,176,5,7,32
"593","RMDQ8_v1","RMDQ16_v1",0.875,5.18254372179348e-08,8,212,182,30,1,7
"594","RMDQ9_v1","RMDQ16_v1",0.941176470588235,3.04597864637659e-39,34,186,181,5,2,32
"595","RMDQ10_v1","RMDQ16_v1",0.8,3.41710399034611e-32,40,180,175,5,8,32
"596","RMDQ11_v1","RMDQ16_v1",0.761904761904762,2.73669003394032e-30,42,178,173,5,10,32
"597","RMDQ12_v1","RMDQ16_v1",0.727272727272727,1.47323611159845e-28,44,176,171,5,12,32
"598","RMDQ13_v1","RMDQ16_v1",0.760869565217391,1.27148398890014e-33,46,174,172,2,11,35
"599","RMDQ14_v1","RMDQ16_v1",0.653061224489796,7.57897393539647e-25,49,171,166,5,17,32
"600","RMDQ15_v1","RMDQ16_v1",0.870967741935484,1.52047338237707e-29,31,189,179,10,4,27
"601","RMDQ16_v1","RMDQ16_v1",1,9.04447975804488e-50,37,183,183,0,0,37
"602","RMDQ17_v1","RMDQ16_v1",0.693877551020408,6.44024441045586e-29,49,171,168,3,15,34
"603","RMDQ18_v1","RMDQ16_v1",0.861111111111111,5.42599230399142e-34,36,184,178,6,5,31
"604","RMDQ19_v1","RMDQ16_v1",0.9375,2.50106579418143e-36,32,188,181,7,2,30
"605","RMDQ20_v1","RMDQ16_v1",0.868421052631579,6.84880214391621e-37,38,182,178,4,5,33
"606","RMDQ21_v1","RMDQ16_v1",0.666666666666667,1.58117638108734e-25,48,172,167,5,16,32
"607","RMDQ22_v1","RMDQ16_v1",0.815789473684211,8.45258776283249e-32,38,182,176,6,7,31
"608","RMDQ23_v1","RMDQ16_v1",0.837837837837838,7.24914946220842e-33,37,183,177,6,6,31
"609","RMDQ24_v1","RMDQ16_v1",0.914285714285714,6.70026680622147e-38,35,185,180,5,3,32
"610","Dor nas costas","RMDQ17_v1",0.252032520325203,0.163213774684252,123,67,56,11,92,31
"611","Dor nas pernas","RMDQ17_v1",0.215384615384615,0.847813712224347,65,123,95,28,51,14
"612","Livrar_costas","RMDQ17_v1",0.224299065420561,0.36421929783921,107,16,14,2,83,24
"613","Livrar_perna","RMDQ17_v1",0.142857142857143,0.504714328746874,14,109,85,24,12,2
"614","Lombalgia","RMDQ17_v1",0.213114754098361,0.468681529434374,61,56,47,9,48,13
"615","RMDQ1_v1","RMDQ17_v1",0.411764705882353,5.99187808282579e-07,85,134,120,14,50,35
"616","RMDQ2_v1","RMDQ17_v1",0.411111111111111,1.61969694346102e-07,90,129,117,12,53,37
"617","RMDQ3_v1","RMDQ17_v1",0.518987341772152,2.67418826934506e-15,79,141,133,8,38,41
"618","RMDQ4_v1","RMDQ17_v1",0.351851851851852,0.00865561410133531,54,166,136,30,35,19
"619","RMDQ5_v1","RMDQ17_v1",0.569444444444444,6.64752924286541e-18,72,148,140,8,31,41
"620","RMDQ6_v1","RMDQ17_v1",0.696428571428571,5.74846908770791e-23,56,164,154,10,17,39
"621","RMDQ7_v1","RMDQ17_v1",0.794871794871795,2.86539143881379e-21,39,181,163,18,8,31
"622","RMDQ8_v1","RMDQ17_v1",0.875,6.27400194866598e-06,8,212,170,42,1,7
"623","RMDQ9_v1","RMDQ17_v1",0.911764705882353,8.47487722220644e-26,34,186,168,18,3,31
"624","RMDQ10_v1","RMDQ17_v1",0.825,4.45683909243186e-24,40,180,164,16,7,33
